# V.I.C.T.O.R. - dziennik diagnostyczny
# telefon: samsung SM-A236B
# Android: 13 (SDK 33)
# aplikacja: 0.1.0-alpha-debug (1)
# dostawca AI: gemini
# transkrypcja w chmurze: false
# mikrofon okularów: true
# źródło zdjęcia: full (dzielnik 2)
10:31:59.788          ms  SESJA        start sesji
10:32:59.717          ms  BLE          POŁĄCZONO  noweŁącze=true
10:32:59.721          ms  BLE          powitanie okularów - start
10:32:59.734          ms  BLE          powitanie okularów - koniec  frazaWybudzenia=true kanałZapisu=true
10:33:00.025          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
10:33:01.811          ms  BLE          POŁĄCZONO  noweŁącze=false
10:33:04.740          ms  AUDIO        okulary NIE podały swojej części audio  poMs=5000
10:33:21.823          ms  PRZYCISK     wciśnięto  numer=1
10:33:22.082          ms  WAKE         okulary nadają dźwięk, choć żadna tura nie trwa  pakietów=1
10:33:22.764          ms  NASŁUCH      dokładam dźwięk sprzed startu nasłuchu  pakietów=17 ms=680
10:33:22.867          ms  AUDIO        zestawiony profil rozmowy do nasłuchu  ms=14 mikrofonOkularów=true
10:33:22.870      +0 ms  SESJA        --- TURA a666 ---  źródło=OKULARY
10:33:22.872      +2 ms  NASŁUCH      start  strumieńBLE=true sco=true mikrofonBT=true
10:33:23.389    +519 ms  BLE          nieobsługiwana ramka notify  typ=0x12 ramka=BC 73 0E 00 0B 56 12 01 00 10 0C 02 00 0F 0F 03 00 10 0A 02 sztuk=1 pierwsza=true
10:33:28.506   +5636 ms  NASŁUCH      koniec  ms=5636 telefonUsłyszał=dziennik zrób mi podsumowanie takie na starcie
10:33:28.771   +5901 ms  NASŁUCH      nagranie z okularów  jest=true sekund=1.1935 pakietów=60 rozkodowanych=60 odrzuconych=0 przesunięcie=6 ramka=-1
10:33:30.215   +7345 ms  TRANSKRYPCJA z nagrania okularów  ms=1442
