# V.I.C.T.O.R. - dziennik diagnostyczny
# telefon: samsung SM-A236B
# Android: 13 (SDK 33)
# aplikacja: 0.1.0-alpha-debug (1)
# dostawca AI: gemini
# transkrypcja w chmurze: false
# mikrofon okularów przy starcie: true
# źródło zdjęcia: full (dzielnik 3)
19:08:49.171          ms  SESJA        start sesji
19:26:26.879   +9287 ms  AUDIO        brak A2DP - biorę profil rozmowy  a2dp=false scoStoi=true
19:26:26.879   +9287 ms  AUDIO        proszę okulary o włączenie trybu multimediów  powód=brak A2DP przed odpowiedzią
19:26:28.923  +11331 ms  KONTEKST     zebrany  ms=2011 pamięć=false kalendarz=false poczta=false pogoda=true lokalizacja=false limitCzasu=false
19:26:28.969  +11377 ms  MODEL        wysyłam pytanie  dostawca=gemini model=gemini-3.5-flash próba=1 zdjęć=0 znakówPromptu=1577
19:26:32.893  +15301 ms  AUDIO        tryb multimediów NIE wstał mimo prośby  poMs=6000 jakTelefonWidziOkulary=Tryb audio telefonu: zwykły, trzymanych łączy: 1 / Odtwarzanie (A2DP): brak / Rozmowa (SCO/HFP): W610T_04C5 / Mikrofon okularów jest dostępny dla rozmowy.
19:26:35.008  +17416 ms  MODEL        PIERWSZY FRAGMENT odpowiedzi  ms=6043
19:26:35.042  +17450 ms  MODEL        zużycie tokenów  wejście=2974 odpowiedź=86 myślenie=1021 razem=4081 limit=1200 koniec=STOP
19:26:35.051  +17459 ms  MODEL        koniec odpowiedzi (303 znaków, 4081 tokenów)  ms=6086
19:26:35.057  +17465 ms  AKCJA        model nie zlecił żadnej akcji  znakówOdpowiedzi=303
19:26:53.603  +36011 ms  MOWA         koniec wypowiedzi  ms=18543
19:26:53.648  +36056 ms  AUDIO        zwinięte łącze audio tury  ms=2
19:26:53.657  +36065 ms  SESJA        --- KONIEC TURY ade8: odpowiedziano ---
19:26:53.674          ms  WAKE         przypominam okularom o frazie wybudzenia  powód=koniec tury
19:26:54.546          ms  WAKE         okulary odpowiedziały o frazie wybudzenia  żądano=true zgłaszają=true
19:27:11.816          ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,3
19:27:14.258          ms  PRZYCISK     wciśnięto  numer=1
19:27:14.438          ms  WAKE         okulary nadają dźwięk, choć żadna tura nie trwa  pakietów=24
19:27:14.776          ms  PRZYCISK     akcja z przycisku  akcja=QUICK_QUESTION kliknięć=1
19:27:14.872          ms  NASŁUCH      dokładam dźwięk sprzed startu nasłuchu  pakietów=19 ms=425
19:27:14.973          ms  AUDIO        zestawiony profil rozmowy do nasłuchu  ms=14 mikrofonOkularów=true
19:27:14.979      +1 ms  SESJA        --- TURA 3b98 ---  źródło=OKULARY
19:27:14.982      +4 ms  NASŁUCH      start  strumieńBLE=true sco=true mikrofonBT=true ustawienieMikOkularów=true
19:27:15.463    +485 ms  BLE          ustawienia głośności z okularów  wartości=0,16,10,0,15,8,0,16,10,2
